Tag Length (Average tag length = 368.507197)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000270
3	0.000441
4	0.000902
5	0.001008
6	0.000949
7	0.000878
8	0.000944
9	0.001060
10	0.001036
11	0.001122
12	0.001168
13	0.001173
14	0.001264
15	0.001198
16	0.001208
17	0.001334
18	0.001264
19	0.001217
20	0.001247
21	0.001251
22	0.001302
23	0.001303
24	0.001285
25	0.001216
26	0.001233
27	0.001330
28	0.001242
29	0.001212
30	0.001328
31	0.001333
32	0.001283
33	0.001241
34	0.001247
35	0.001241
36	0.001190
37	0.001148
38	0.001170
39	0.001083
40	0.001043
41	0.001021
42	0.001014
43	0.000970
44	0.004656
45	0.000892
46	0.008560
47	0.000392
48	0.036066
49	0.000000
50	7.300120
