Tag Length (Average tag length = 420.792965)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000288
3	0.000453
4	0.001010
5	0.001163
6	0.001007
7	0.000982
8	0.001021
9	0.001048
10	0.001144
11	0.001174
12	0.001311
13	0.001306
14	0.001355
15	0.001249
16	0.001267
17	0.001290
18	0.001264
19	0.001283
20	0.001265
21	0.001305
22	0.001300
23	0.001324
24	0.001397
25	0.001371
26	0.001319
27	0.001277
28	0.001324
29	0.001283
30	0.001280
31	0.001339
32	0.001284
33	0.001259
34	0.001215
35	0.001277
36	0.001231
37	0.001239
38	0.001157
39	0.001120
40	0.001086
41	0.001077
42	0.000988
43	0.000988
44	0.005121
45	0.000970
46	0.009045
47	0.000376
48	0.036934
49	0.000000
50	8.343409
