Tag Length (Average tag length = 328.527224)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000279
3	0.000433
4	0.000850
5	0.000927
6	0.000862
7	0.000802
8	0.000862
9	0.000940
10	0.000945
11	0.001060
12	0.001116
13	0.001138
14	0.001167
15	0.001098
16	0.001139
17	0.001148
18	0.001197
19	0.001110
20	0.001114
21	0.001082
22	0.001139
23	0.001197
24	0.001177
25	0.001150
26	0.001139
27	0.001145
28	0.001149
29	0.001143
30	0.001162
31	0.001186
32	0.001128
33	0.001161
34	0.001122
35	0.001138
36	0.001071
37	0.001046
38	0.001012
39	0.000996
40	0.000948
41	0.000919
42	0.000868
43	0.000873
44	0.004262
45	0.000876
46	0.007750
47	0.000354
48	0.032669
49	0.000000
50	6.507039
