Tag Length (Average tag length = 470.356353)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000277
3	0.000469
4	0.000942
5	0.001143
6	0.001081
7	0.001092
8	0.001091
9	0.001163
10	0.001227
11	0.001267
12	0.001348
13	0.001335
14	0.001452
15	0.001396
16	0.001289
17	0.001385
18	0.001424
19	0.001359
20	0.001338
21	0.001390
22	0.001418
23	0.001446
24	0.001429
25	0.001427
26	0.001412
27	0.001442
28	0.001382
29	0.001399
30	0.001430
31	0.001466
32	0.001435
33	0.001409
34	0.001352
35	0.001389
36	0.001381
37	0.001339
38	0.001328
39	0.001218
40	0.001214
41	0.001190
42	0.001121
43	0.001087
44	0.005509
45	0.001118
46	0.009473
47	0.000405
48	0.039090
49	0.000000
50	9.329643
